data,variable,ae,np
2021-01-01,tmed,22.0666666666667,22.9
2021-01-01,ur,62.5416666666667,59.06
2021-01-01,tmin,16,15.08
2021-01-01,tmax,29.1,30.47
2021-01-01,prec,0,0.01
2021-01-02,tmed,23.4,23.96
2021-01-02,ur,57.2083333333333,57.62
2021-01-02,tmin,17.6,15.92
2021-01-02,tmax,29.6,31.79
2021-01-02,prec,0,0.53
2021-01-03,tmed,24.4041666666667,25.62
2021-01-03,ur,57.0416666666667,60.5
2021-01-03,tmin,18.9,17.68
2021-01-03,tmax,31,32.88
2021-01-03,prec,0,0.98
2021-01-04,tmed,23.4375,25.53
2021-01-04,ur,69.8333333333333,66.31
2021-01-04,tmin,18.8,19.83
2021-01-04,tmax,29,33.34
2021-01-04,prec,3.2,1.03
2021-01-05,tmed,22.2125,23.23
2021-01-05,ur,87.5416666666667,83.81
2021-01-05,tmin,20,20.87
2021-01-05,tmax,25.1,25.66
2021-01-05,prec,9.4,15.18
2021-01-06,tmed,23.225,25.57
2021-01-06,ur,81.5416666666667,76.31
2021-01-06,tmin,20.3,19.43
2021-01-06,tmax,29,31.25
2021-01-06,prec,0.6,4.3
2021-01-07,tmed,23.4375,23.99
2021-01-07,ur,82.3333333333333,79.31
2021-01-07,tmin,20.6,21.26
2021-01-07,tmax,26.7,26.83
2021-01-07,prec,3,1.98
2021-01-08,tmed,24.9166666666667,25.47
2021-01-08,ur,67.4166666666667,64.38
2021-01-08,tmin,19.4,18.97
2021-01-08,tmax,30.7,31.93
2021-01-08,prec,0,1.89
2021-01-09,tmed,23.6458333333333,26.6
2021-01-09,ur,70.9583333333333,66.19
2021-01-09,tmin,19.4,18.16
2021-01-09,tmax,31,33.3
2021-01-09,prec,4.8,4.7
2021-01-10,tmed,25.125,28.03
2021-01-10,ur,78.2916666666667,70.75
2021-01-10,tmin,20.5,22.96
2021-01-10,tmax,31.6,33.22
2021-01-10,prec,0,1.32
2021-01-11,tmed,27.1791666666667,28.15
2021-01-11,ur,74.4583333333333,70.81
2021-01-11,tmin,22.8,22.87
2021-01-11,tmax,32.2,33.87
2021-01-11,prec,0.6,0.7
2021-01-12,tmed,24.6666666666667,28.21
2021-01-12,ur,74.7083333333333,69.62
2021-01-12,tmin,22.1,22.64
2021-01-12,tmax,28.6,34.05
2021-01-12,prec,0,1.64
2021-01-13,tmed,24.4583333333333,25.34
2021-01-13,ur,73,71.5
2021-01-13,tmin,21.5,20.87
2021-01-13,tmax,29.2,31.9
2021-01-13,prec,0,7.6
2021-01-14,tmed,24.9875,25.11
2021-01-14,ur,66.625,63.69
2021-01-14,tmin,20.1,18.93
2021-01-14,tmax,31.3,31.62
2021-01-14,prec,0,0.32
2021-01-15,tmed,26.3458333333333,26.4
2021-01-15,ur,62.6666666666667,64.44
2021-01-15,tmin,21,20.41
2021-01-15,tmax,31.5,31.96
2021-01-15,prec,0,0.31
2021-01-16,tmed,25.2,26.63
2021-01-16,ur,77,74.12
2021-01-16,tmin,23.2,23.23
2021-01-16,tmax,28.4,31.58
2021-01-16,prec,16,16.94
2021-01-17,tmed,23.6416666666667,24.06
2021-01-17,ur,88.5416666666667,90.44
2021-01-17,tmin,21.1,20.3
2021-01-17,tmax,25.6,27.14
2021-01-17,prec,19.4,19.4
2021-01-18,tmed,22.2333333333333,22.54
2021-01-18,ur,73.625,70.94
2021-01-18,tmin,18.1,18.48
