Province;Location;Year;Code;Lat;Lon;Altitude;Sowing;Harvesting;Cycle
Anhui;Jieshou;2019;Jieshou_2019;32.96;115.35;35;01/06/2019;21/09/2019;112
Anhui;Jieshou;2020;Jieshou_2020;32.96;115.35;35;02/06/2020;23/09/2020;113
Anhui;Suixi;2019;Suixi_2019;33.79;116.73;26;02/06/2019;21/09/2019;111
Anhui;Suixi;2020;Suixi_2020;33.79;116.73;26;01/06/2020;22/09/2020;113
Hebei;Gaocheng;2019;Gaocheng_2019;38.07;114.97;52;15/06/2019;07/10/2019;114
Hebei;Gaocheng;2020;Gaocheng_2020;38.07;114.97;52;17/06/2020;10/10/2020;115
Hebei;Handan;2019;Handan_2019;36.49;114.54;55;06/06/2019;27/09/2019;113
Hebei;Handan;2020;Handan_2020;36.49;114.54;55;05/06/2020;26/09/2020;113
Hebei;Shenzhou;2019;Shenzhou_2019;37.89;115.71;25;09/06/2019;02/10/2019;115
Hebei;Shenzhou;2020;Shenzhou_2020;37.89;115.71;25;11/06/2020;03/10/2020;114
Henan;Nanyang;2019;Nanyang_2019;32.87;112.52;85;28/05/2019;12/09/2019;107
Henan;Nanyang;2020;Nanyang_2020;32.87;112.52;85;31/05/2020;13/09/2020;105
Hubei;Yicheng;2019;Yicheng_2019;31.46;111.77;235;02/06/2019;20/09/2019;110
Hubei;Yicheng;2020;Yicheng_2020;31.46;111.77;235;04/06/2020;21/09/2020;109
Shandong;Dezhou;2019;Dezhou_2019;37.68;116.81;23;05/06/2019;24/09/2019;111
Shandong;Dezhou;2020;Dezhou_2020;37.68;116.81;23;06/06/2020;26/09/2020;112
Shandong;Jinan;2019;Jinan_2019;36.41;116.78;58;04/06/2019;23/09/2019;111
Shandong;Jinan;2020;Jinan_2020;36.41;116.78;58;05/06/2020;23/09/2020;110
Shandong;Laizhou;2019;Laizhou_2019;37.1;120.02;18;03/06/2019;25/09/2019;114
Shandong;Laizhou;2020;Laizhou_2020;37.1;120.02;18;03/06/2020;26/09/2020;115
