Province;Location;Year;Code;Lat;Lon;Altitude;Sowing;Harvesting
Anhui;Jieshou;2001;Jieshou_2001;32.96;115.35;35;01/05/2001;30/10/2001
Anhui;Jieshou;2002;Jieshou_2002;32.96;115.35;35;01/05/2002;30/10/2002
Anhui;Jieshou;2003;Jieshou_2003;32.96;115.35;35;01/05/2003;30/10/2003
Anhui;Jieshou;2004;Jieshou_2004;32.96;115.35;35;01/05/2004;30/10/2004
Anhui;Jieshou;2005;Jieshou_2005;32.96;115.35;35;01/05/2005;30/10/2005
Anhui;Jieshou;2006;Jieshou_2006;32.96;115.35;35;01/05/2006;30/10/2006
Anhui;Jieshou;2007;Jieshou_2007;32.96;115.35;35;01/05/2007;30/10/2007
Anhui;Jieshou;2008;Jieshou_2008;32.96;115.35;35;01/05/2008;30/10/2008
Anhui;Jieshou;2009;Jieshou_2009;32.96;115.35;35;01/05/2009;30/10/2009
Anhui;Jieshou;2010;Jieshou_2010;32.96;115.35;35;01/05/2010;30/10/2010
Anhui;Jieshou;2011;Jieshou_2011;32.96;115.35;35;01/05/2011;30/10/2011
Anhui;Jieshou;2012;Jieshou_2012;32.96;115.35;35;01/05/2012;30/10/2012
Anhui;Jieshou;2013;Jieshou_2013;32.96;115.35;35;01/05/2013;30/10/2013
Anhui;Jieshou;2014;Jieshou_2014;32.96;115.35;35;01/05/2014;30/10/2014
Anhui;Jieshou;2015;Jieshou_2015;32.96;115.35;35;01/05/2015;30/10/2015
Anhui;Jieshou;2016;Jieshou_2016;32.96;115.35;35;01/05/2016;30/10/2016
Anhui;Jieshou;2017;Jieshou_2017;32.96;115.35;35;01/05/2017;30/10/2017
Anhui;Jieshou;2018;Jieshou_2018;32.96;115.35;35;01/05/2018;30/10/2018
Anhui;Jieshou;2019;Jieshou_2019;32.96;115.35;35;01/05/2019;30/10/2019
Anhui;Jieshou;2020;Jieshou_2020;32.96;115.35;35;01/05/2020;30/10/2020
Anhui;Suixi;2001;Suixi_2001;33.79;116.73;26;01/05/2001;30/10/2001
Anhui;Suixi;2002;Suixi_2002;33.79;116.73;26;01/05/2002;30/10/2002
Anhui;Suixi;2003;Suixi_2003;33.79;116.73;26;01/05/2003;30/10/2003
Anhui;Suixi;2004;Suixi_2004;33.79;116.73;26;01/05/2004;30/10/2004
Anhui;Suixi;2005;Suixi_2005;33.79;116.73;26;01/05/2005;30/10/2005
Anhui;Suixi;2006;Suixi_2006;33.79;116.73;26;01/05/2006;30/10/2006
Anhui;Suixi;2007;Suixi_2007;33.79;116.73;26;01/05/2007;30/10/2007
